Date,Max temp,Min temp,Avg temp
2019-03-01,47,19,33
2019-03-02,57,39,48
2019-03-03,56,39,47.5
2019-03-04,53,34,43.5
2019-03-05,50,25,37.5
2019-03-06,41,29,35
2019-03-07,42,29,35.5
2019-03-08,60,28,44
2019-03-09,66,46,56
2019-03-10,61,38,49.5
2019-03-11,47,37,42
2019-03-12,64,42,53
2019-03-13,57,40,48.5
2019-03-14,44,31,37.5
2019-03-15,51,32,41.5
2019-03-16,47,28,37.5
2019-03-17,45,39,42
2019-03-18,56,28,42
2019-03-19,65,49,57
2019-03-20,72,37,54.5
2019-03-21,37,29,33
2019-03-22,50,28,39
2019-03-23,48,39,43.5
2019-03-24,44,37,40.5
2019-03-25,55,42,48.5
2019-03-26,68,36,52
2019-03-27,58,49,53.5
2019-03-28,72,50,61
2019-03-29,77,57,67
2019-03-30,57,41,49
2019-03-31,46,38,42
